130,30,28,1
123,19,20,1
98,9,13,1
132,6,10,1
160,20,29,1
185,25,25,1
129,6,9,1
105,9,13,1
125,31,32,1
139,34,31,1
138,39,34,1
126,26,28,1
118,24,25,1
123,27,31,1
116,15,19,1
149,67,73,1
136,25,31,1
173,33,42,1
236,117,123,1
213,138,143,1
222,163,169,1
209,133,143,1
148,12,16,1
222,181,185,1
219,170,173,1
214,138,142,1
219,126,134,1
216,165,172,1
108,2,4,1
107,11,12,1
119,70,11,2
108,93,60,2
109,76,59,2
112,134,7,2
139,162,19,2
202,225,108,2
201,224,134,2
141,173,48,2
178,199,98,2
171,189,81,2
192,205,117,2
136,160,20,2
131,155,33,2
139,167,46,2
91,119,0,2
141,175,52,2
127,157,25,2
109,135,10,2
130,155,28,2
143,166,36,2
255,255,255,3
255,255,255,3
255,255,255,3
188,188,188,3
129,107,109,3
122,97,100,3
87,63,59,3
147,135,135,3
255,255,255,3
246,248,247,3
255,255,255,3
237,233,234,3
255,255,255,3
255,255,255,3
255,255,255,3
255,255,255,3
254,255,250,3
254,249,255,3
249,255,251,3
255,252,255,3
148,130,80,3
224,154,152,3
113,4,7,3
255,251,253,3
129,57,58,3
119,9,10,3
88,47,53,3
83,59,55,3
255,245,239,3
126,20,24,3
255,255,255,3
193,29,36,3
212,96,97,3
220,171,175,3
125,133,82,3
147,93,106,3
255,255,255,3
255,255,255,3
139,161,50,3
255,254,255,3
255,255,237,3
255,255,230,3
255,255,255,3
