143 ,166 ,36 ,leaf
249 ,255 ,251 ,background
108 ,2 ,4 ,apple
255 ,255 ,230 ,background
116 ,15 ,19 ,apple
255 ,255 ,255 ,background
132 ,6 ,10 ,apple
129 ,107 ,109 ,apple
255 ,252 ,255 ,background
113 ,4 ,7 ,apple
255 ,255 ,255 ,background
192 ,205 ,117 ,background
107 ,11 ,12 ,apple
255 ,255 ,255 ,background
201 ,224 ,134 ,background
109 ,135 ,10 ,leaf
123 ,27 ,31 ,apple
255 ,255 ,255 ,background
255 ,255 ,255 ,background
130 ,30 ,28 ,apple
112 ,134 ,7 ,leaf
171 ,189 ,81 ,leaf
118 ,24 ,25 ,apple
136 ,160 ,20 ,leaf
255 ,255 ,255 ,background
246 ,248 ,247 ,background
136 ,25 ,31 ,apple
219 ,126 ,134 ,background
